date,dairycpi,mpfecpi,fandvcpi
1/1/2020,223.035,254.065,300.344
2/1/2020,224.443,254.88,298.851
3/1/2020,225.627,255.552,300.161
4/1/2020,228.755,265.915,303.084
5/1/2020,230.166,274.78,304.804
6/1/2020,228.437,280.249,305.597
7/1/2020,227.114,269.584,306.691
8/1/2020,231.231,265.978,307.726
9/1/2020,230.656,264.532,307.178
10/1/2020,229.155,264.985,308.668
11/1/2020,229.503,265.951,308.215
12/1/2020,231.74,265.61,308.003
1/1/2021,231.546,267.18,308.788
2/1/2021,230.452,268.197,309.061
3/1/2021,229.249,269.645,311.587
4/1/2021,230.17,271.296,313.09
5/1/2021,230.38,275.192,313.52
6/1/2021,230.152,282.21,315.27
7/1/2021,231.233,285.516,313.471
8/1/2021,230.145,287.327,314.75
9/1/2021,231.973,291.997,316.274
10/1/2021,233.168,296.102,318.13
11/1/2021,233.157,299.824,320.09
12/1/2021,235.442,298.917,323.729
1/1/2022,238.675,299.916,326.518
2/1/2022,242.386,302.934,332.702
3/1/2022,245.258,306.793,337.859
4/1/2022,251.03,310.343,337.377
5/1/2022,257.678,314.412,339.011
6/1/2022,261.255,315.6,340.416
7/1/2022,265.638,316.799,342.456
8/1/2022,267.461,318.072,344.507
9/1/2022,268.793,318.087,348.887
10/1/2022,269.355,319.688,347.977
11/1/2022,271.307,320.004,351.094
12/1/2022,271.376,321.359,351.213
1/1/2023,272.04,323.956,350.07
2/1/2023,272.271,322.915,350.25
3/1/2023,271.384,320.021,346.264
4/1/2023,271.102,318.767,344.508
5/1/2023,269.573,315.565,348.415
6/1/2023,268.338,315.274,350.51
7/1/2023,269.143,316.255,352.19
8/1/2023,268.281,318.142,351.757
9/1/2023,268.377,318.63,351.441
10/1/2023,268.326,320.716,352.064
11/1/2023,267.609,320.182,352.26
12/1/2023,267.889,321.145,352.435
1/1/2024,268.941,321.23,353.786
2/1/2024,267.334,321.526,352.951
3/1/2024,266.274,324.403,353.328
4/1/2024,267.474,322.226,350.523
5/1/2024,266.749,323.025,350.545
6/1/2024,268.098,323.581,348.734
7/1/2024,268.653,325.796,351.553
8/1/2024,269.468,328.34,350.96
9/1/2024,269.643,331.004,353.976
10/1/2024,271.695,326.927,355.415
11/1/2024,270.819,332.468,356.111
12/1/2024,271.358,334.525,355.73
